"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,
"World Fertility Data 2012
ANNUAL NUMBER OF BIRTHS AND CRUDE BIRTH RATE

Copyright ? 2013 by United Nations. All rights reserved.
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2013). World Fertility Data 2012 (POP/DB/Fert/Rev2012).",,,,,,,,,,,,,,,,
Country,ISO code,Period,Reference,,Number of births,"Crude birth rate
(per thousand)",Source type,Source,,Survey name,Note on country or population,Note on definition of live birth,Note on methods,Additional note,Note on population data used in denominator,
,,,Year,Period,,,,"Number of 
births",Crude birth rate,,,,,,,
Argentina,32,Around 1970,1970,,"544,521",22.7,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Argentina,32,Around 1985,1985,,"650,783",21.4,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Argentina,32,Around 1995,1995,,"658,735",18.9,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Argentina,32,Around 2005,2005,,"712,220",18.4,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Argentina,32,Latest,2010,,"756,176",18.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Armenia,51,Around 1970,1970,,"55,694",22.1,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Armenia,51,Around 1985,1985,,"80,306",24.1,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Armenia,51,Around 1995,1995,,"48,960",13.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Armenia,51,Around 2005,2005,,"37,499",11.7,Registration,UNSD,,,,"Excluding live-born infants of less than 28 weeks' gestation, of less than 1,000 grams in weight and 35 centimetres in length, who died within seven days of birth.",,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Armenia,51,Latest,2011,,"43,340",13.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Aruba,533,Around 1970,1972,,"1,201",20.7,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Aruba,533,Around 1985,1985,,"1,121",18.2,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Aruba,533,Around 1995,1995,,"1,419",17.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Aruba,533,Around 2005,2005,,"1,234",12.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Aruba,533,Latest,2010,,"1,141",10.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Australia,36,Around 1970,1970,,"257,516",20.6,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Australia,36,Around 1985,1985,,"247,348",15.7,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Australia,36,Around 1995,1995,,"256,190",14.2,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Australia,36,Around 2005,2005,,"259,791",12.7,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Australia,36,Latest,2010,,"297,903",13.4,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Austria,40,Around 1970,1970,,"112,301",15.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Austria,40,Around 1985,1985,,"87,440",11.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Austria,40,Around 1995,1995,,"88,669",11.2,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Austria,40,Around 2005,2005,,"78,190",9.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Austria,40,Latest,2011,,"78,109",9.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Azerbaijan,31,Around 1970,1970,,"143,267",27.7,Registration,,National statistics,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Azerbaijan,31,Around 1985,1985,,"177,657",26.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Azerbaijan,31,Around 1995,1995,,"143,315",18.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Azerbaijan,31,Around 2005,2005,,"141,901",16.7,Registration,UNSD,,,,"Excluding live-born infants of less than 28 weeks' gestation, of less than 1,000 grams in weight and 35 centimetres in length, who died within seven days of birth.",Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Azerbaijan,31,Latest,2011,,"176,072",19.4,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahamas,44,Around 1970,1970,,"4,894",28.9,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahamas,44,Around 1985,1985,,"6,325",27.3,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahamas,44,Around 1995,1993,,"6,674",24.8,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahamas,44,Around 2005,2004,,"4,446",13.9,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahamas,44,Latest,2005,,"4,733",14.6,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahrain,48,Around 1970,1971,,"6,404",29.2,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bahrain,48,Around 1985,1985,,"12,314",29.5,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bahrain,48,Around 1995,1995,,"13,481",24.1,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bahrain,48,Around 2005,2005,,"15,198",21.0,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bahrain,48,Latest,2009,,"17,841",15.3,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bangladesh,50,Around 1970,1974,1971-1976,"2,984,446",42.9,Survey,,WFS,Bangladesh 1975-1976 World Fertility Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bangladesh,50,Around 1985,1985,,"3,506,777",38.0,Survey,,National statistics,Bangladesh Contraceptive Prevalence Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bangladesh,50,Around 1995,1995,1994-1997,"3,465,865",29.5,Survey,,DHS,Bangladesh 1996-1997 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bangladesh,50,Around 2005,2002,2001-2004,"3,853,446",28.7,Survey,,DHS,Bangladesh 2004 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bangladesh,50,Latest,2005,2004-2007,"3,669,345",26.1,Survey,,DHS,Bangladesh 2007 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Barbados,52,Around 1970,1970,,"4,883",20.4,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Barbados,52,Around 1985,1985,,"4,281",16.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Barbados,52,Around 1995,1992,,"4,139",15.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Barbados,52,Around 2005,2005,,"3,508",12.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Barbados,52,Latest,2007,,"3,537",12.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belarus,112,Around 1970,1970,,"146,676",16.2,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belarus,112,Around 1985,1985,,"165,034",16.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belarus,112,Around 1995,1995,,"101,144",9.9,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belarus,112,Around 2005,2005,,"90,508",9.3,Registration,UNSD,,,,"Excluding live-born infants of less than 28 weeks' gestation, of less than 1,000 grams in weight and 35 centimetres in length, who died within seven days of birth.",,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belarus,112,Latest,2011,,"109,147",11.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belgium,56,Around 1970,1970,,"142,168",14.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belgium,56,Around 1985,1985,,"114,030",11.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belgium,56,Around 1995,1995,,"115,361",11.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belgium,56,Around 2005,2006,,"121,382",11.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belgium,56,Latest,2009,,"127,297",11.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belize,84,Around 1970,1970,,"4,455",36.4,Registration,UNSD,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
Belize,84,Around 1985,1985,,"5,916",35.7,Registration,National statistics,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
Belize,84,Around 1995,1995,,"6,623",30.1,Registration,UNSD,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
Belize,84,Around 2005,2004,,"8,083",29.4,Registration,UNSD,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
Belize,84,Latest,2005,,"8,396",29.9,Registration,UNSD,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
Benin,204,..,1961,,"132,361",54.0,Survey,,National statistics,Benin 1961 Enqu¨ºte D¨¦mographique,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Benin,204,Around 1985,1980,1977-1982,"194,971",54.0,Survey,,WFS,Benin 1981-1982 World Fertility Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Benin,204,Around 1995,1995,1993-1996,"229,436",40.6,Survey,,DHS,Benin 1996 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Benin,204,Around 2005,2002,,"285,637",41.2,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
