"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,
"World Fertility Data 2012
ANNUAL NUMBER OF BIRTHS AND CRUDE BIRTH RATE

Copyright ? 2013 by United Nations. All rights reserved.
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2013). World Fertility Data 2012 (POP/DB/Fert/Rev2012).",,,,,,,,,,,,,,,,
Country,ISO code,Period,Reference,,Number of births,"Crude birth rate
(per thousand)",Source type,Source,,Survey name,Note on country or population,Note on definition of live birth,Note on methods,Additional note,Note on population data used in denominator,
,,,Year,Period,,,,"Number of 
births",Crude birth rate,,,,,,,
Czech Republic,203,Around 2005,2005,,"102,211",10.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Czech Republic,203,Latest,2011,,"108,673",10.3,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Democratic People's Republic of Korea,408,Around 1970,1970,,"636,831",44.7,Registration,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Democratic People's Republic of Korea,408,Around 1985,1985,,"414,234",22.1,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Democratic People's Republic of Korea,408,Around 1995,1993,,"365,802",17.3,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Democratic People's Republic of Korea,408,Around 2005,2003,,"365,610",15.6,Registration,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Democratic People's Republic of Korea,408,Latest,2008,,"345,630",14.4,Census,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Democratic Republic of the Congo,180,..,1976,1975-1976,"1,051,702",43.8,National estimates,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Democratic Republic of the Congo,180,Around 1985,1984,,"1,438,998",48.1,Census,,National statistics,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Democratic Republic of the Congo,180,Around 2005,2001,,"2,472,987",48.5,Survey,,MICS,Democratic Republic of the Congo 2001 Multiple Indicator Cluster Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Democratic Republic of the Congo,180,Latest,2005,2004-2007,"2,532,245",44.1,Survey,,DHS,Democratic Republic of the Congo 2007 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Denmark,208,Around 1970,1970,,"70,802",14.4,Registration,UNSD,,,Excluding Faeroe Islands and Greenland.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Denmark,208,Around 1985,1985,,"53,749",10.5,Registration,UNSD,,,Excluding Faeroe Islands and Greenland.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Denmark,208,Around 1995,1995,,"69,771",13.3,Registration,UNSD,,,Excluding Faeroe Islands and Greenland.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Denmark,208,Around 2005,2005,,"64,282",11.9,Registration,UNSD,,,Excluding Faeroe Islands and Greenland.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Denmark,208,Latest,2011,,"58,998",10.6,Registration,UNSD,,,Excluding Faeroe Islands and Greenland.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Djibouti,262,Around 1995,1991,,"15,400",30.3,Survey,National statistics,National statistics,Djibouti 1991 Intercensal Survey,,,,,,
Djibouti,262,Latest,2001,1998-2002,"14,697",19.6,Survey,,PAPFAM,Djibouti 2002 Family Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Dominica,212,Around 1970,1970,,"2,503",35.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominica,212,Around 1985,1985,,"1,703",22.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominica,212,Around 1995,1995,,"1,501",20.7,Registration,National statistics,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominica,212,Around 2005,2005,,"1,010",14.3,Registration,,National statistics,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominica,212,Latest,2010,,933,13.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Dominican Republic,214,Around 1970,1970,,"166,477",36.9,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Dominican Republic,214,Around 1985,1983,,"198,486",32.0,Survey,,CPS,Dominican Republic 1983 Contraceptive Prevalence Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Dominican Republic,214,Around 1995,1995,1993-1996,"219,282",27.7,Survey,,DHS,Dominican Republic 1996 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Dominican Republic,214,Around 2005,2001,1999-2002,"219,902",25.2,Survey,,DHS,Dominican Republic 2002 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Dominican Republic,214,Latest,2005,2004-2007,"188,991",20.4,Survey,,DHS,Dominican Republic 2007 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Ecuador,218,Around 1970,1974,,"251,002",37.4,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Ecuador,218,Around 1985,1982,,"275,620",32.8,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Ecuador,218,Around 1995,1990,,"289,349",28.2,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Ecuador,218,Latest,2001,,"303,759",24.2,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Egypt,818,Around 1970,1970,,"1,161,539",32.3,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Egypt,818,Around 1985,1985,,"1,903,022",37.6,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Egypt,818,Around 1995,1995,,"1,604,835",25.9,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Egypt,818,Around 2005,2005,,"1,800,972",24.3,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Egypt,818,Latest,2010,,"2,261,409",27.9,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
El Salvador,222,Around 1970,1970,,"141,471",40.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
El Salvador,222,Around 1985,1985,,"140,784",29.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
El Salvador,222,Around 1995,1995,,"159,336",28.1,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
El Salvador,222,Around 2005,2005,,"112,769",18.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
El Salvador,222,Latest,2009,,"107,880",17.5,Registration,UNSD,,,Excluding live births to non-residents.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Equatorial Guinea,226,Around 1985,1983,,"12,603",42.0,Census,National statistics,National statistics,,,,,,,
Equatorial Guinea,226,Around 1995,1994,,"17,505",43.1,Census,National statistics,National statistics,,,,,,,
Equatorial Guinea,226,Latest,2001,,"19,245",43.2,Census,National statistics,National statistics,,,,,,,
Eritrea,232,Around 1995,1994,1992-1995,"122,026",38.3,Survey,,DHS,Eritrea 1995 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Eritrea,232,Latest,2000,1999-2002,"118,463",32.3,Survey,,DHS,Eritrea 2002 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Estonia,233,..,1979,,"21,978",15.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Estonia,233,Around 1985,1985,,"23,630",15.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Estonia,233,Around 1995,1995,,"13,560",9.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Estonia,233,Around 2005,2005,,"14,350",10.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Estonia,233,Latest,2011,,"14,679",11.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Ethiopia,231,Around 1970,1967,,"1,342,229",50.1,Survey,,National statistics,Ethiopia 1969-1971 National Sample Survey,,Adjusted estimate.,,,Population data are national estimates published by the United Nations Statistics Division.,
Ethiopia,231,Around 1985,1984,,"1,507,210",37.9,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Ethiopia,231,Around 1995,1998,1997-2000,"2,424,793",39.0,Survey,,DHS,Ethiopia 2000 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Ethiopia,231,Around 2005,2003,2002-2005,"2,526,989",35.7,Survey,,DHS,Ethiopia 2005 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Ethiopia,231,Latest,2009,2008-2011,"2,800,977",34.5,Survey,,DHS,Ethiopia 2011 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Faroe Islands,234,Around 1970,1970,,814,21.1,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Faroe Islands,234,Around 1985,1985,,738,16.2,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Faroe Islands,234,Around 1995,1995,,638,14.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Faroe Islands,234,Around 2005,2005,,712,14.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Faroe Islands,234,Latest,2011,,576,11.9,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Falkland Islands (Malvinas),238,Around 1970,1970,,34,16.5,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Falkland Islands (Malvinas),238,Around 1985,1985,,30,16.2,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Falkland Islands (Malvinas),238,Around 1995,1995,,20,8.2,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Falkland Islands (Malvinas),238,Around 2005,2005,,18,6.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Falkland Islands (Malvinas),238,Latest,2006,,27,9.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Fiji,242,Around 1970,1970,,"15,546",29.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Fiji,242,Around 1985,1985,,"19,464",27.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Fiji,242,Around 1995,1995,,"19,286",24.2,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Fiji,242,Around 2005,2005,,"17,826",21.6,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Fiji,242,Latest,2009,,"18,166",21.5,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Finland,246,Around 1970,1970,,"64,559",14.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Finland,246,Around 1985,1985,,"62,796",12.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Finland,246,Around 1995,1995,,"63,067",12.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Finland,246,Around 2005,2005,,"57,745",11.0,Registration,UNSD,,,Including live births to nationals temporarily outside of the country.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Finland,246,Latest,2010,,"60,694",11.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
France,250,Around 1970,1970,,"850,381",16.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
France,250,Around 1985,1985,,"768,431",13.9,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
France,250,Around 1995,1995,,"729,609",12.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
France,250,Around 2005,2005,,"774,355",12.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
France,250,Latest,2010,,"802,224",12.8,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
French Guiana,254,Around 1970,1970,,"1,584",32.2,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
French Guiana,254,Around 1985,1985,,"2,482",28.6,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
French Guiana,254,Around 1995,1995,,"4,264",31.0,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
French Guiana,254,Around 2005,2005,,"5,998",29.7,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,,,Population data are national estimates published by the United Nations Statistics Division.,
French Guiana,254,Latest,2010,,"6,083",26.3,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
French Polynesia,258,Around 1970,1971,,"4,366",38.1,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
French Polynesia,258,Around 1985,1985,,"5,419",31.1,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
French Polynesia,258,Around 1995,1995,,"4,904",22.7,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
French Polynesia,258,Around 2005,2005,,"4,467",17.5,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
French Polynesia,258,Latest,2010,,"4,579",16.9,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Gabon,266,..,1961,,"17,094",35.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Gabon,266,Around 1995,1993,,"39,584",39.0,Census,,National statistics,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Gabon,266,Latest,1999,1997-2000,"39,826",33.0,Survey,,DHS,Gabon 2000 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Gambia,270,Around 1970,1973,,"24,709",49.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Gambia,270,Around 1985,1983,,"35,245",50.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Gambia,270,Around 1995,1993,,"49,181",46.2,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Georgia,268,Around 1970,1970,,"90,363",19.2,Registration,,Eurostat,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Georgia,268,Around 1985,1985,,"97,700",18.5,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Georgia,268,Around 1995,1995,,"56,341",11.9,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Georgia,268,Around 2005,2005,,"46,512",10.7,Registration,UNSD,,,,"Excluding live-born infants of less than 28 weeks' gestation, of less than 1,000 grams in weight and 35 centimetres in length, who died within seven days of birth.",,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Georgia,268,Latest,2011,,"58,014",13.4,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Germany,276,Around 1970,1970,,"1,047,737",13.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Germany,276,Around 1985,1985,,"813,803",10.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Germany,276,Around 1995,1995,,"765,221",9.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Germany,276,Around 2005,2005,,"685,795",8.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Germany,276,Latest,2010,,"677,947",8.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Ghana,288,Around 1970,1971,,"442,000",49.6,Survey,,National statistics,Ghana 1971 Supplementary Inquiry,,,Adjusted estimate.,,Population data are national estimates published by the United Nations Statistics Division.,
Ghana,288,..,1992,1990-1993,"569,873",36.4,Survey,,DHS,Ghana 1993 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Ghana,288,Around 1995,1997,1996-1999,"580,296",32.5,Survey,,DHS,Ghana 1998 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Ghana,288,Around 2005,2002,2000-2003,"655,728",32.6,Survey,,DHS,Ghana 2003 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Ghana,288,Latest,2007,2005-2008,"699,542",30.8,Survey,,DHS,Ghana 2008 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Gibraltar,292,Around 1970,1970,,573,23.2,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Gibraltar,292,Around 1985,1985,,498,17.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Gibraltar,292,Around 1995,1995,,435,15.9,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Gibraltar,292,Around 2005,2005,,418,14.4,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Gibraltar,292,Latest,2010,,493,16.7,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greece,300,Around 1970,1970,,"144,928",16.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greece,300,Around 1985,1985,,"116,481",11.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greece,300,Around 1995,1995,,"101,495",9.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greece,300,Around 2005,2005,,"107,545",9.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greece,300,Latest,2010,,"114,766",10.1,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greenland,304,Around 1970,1970,,"1,144",24.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greenland,304,Around 1985,1985,,"1,140",21.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greenland,304,Around 1995,1995,,"1,120",20.1,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greenland,304,Around 2005,2005,,887,15.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greenland,304,Latest,2010,,869,15.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Grenada,308,Around 1970,1970,,"2,741",29.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Grenada,308,Around 1985,1985,,"3,107",34.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Grenada,308,Around 1995,1995,,"2,286",23.2,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Grenada,308,Around 2005,2001,,"1,899",18.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Grenada,308,Latest,2002,,"1,767",17.3,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Guadeloupe,312,Around 1970,1970,,"9,397",29.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guadeloupe,312,Around 1985,1985,,"6,750",19.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guadeloupe,312,Around 1995,1997,,"7,554",18.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guadeloupe,312,Around 2005,2005,,"7,551",16.9,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guadeloupe,312,Latest,2010,,"5,341",11.6,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Guam,316,Around 1970,1970,,"2,875",33.8,Registration,UNSD,,,"Including live births to United States military personnel, their dependants and contract employees.",,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guam,316,Around 1985,1985,,"3,197",27.0,Registration,UNSD,,,"Including live births to United States military personnel, their dependants and contract employees.",,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guam,316,Around 1995,1995,,"4,189",29.1,Registration,UNSD,,,"Including live births to United States military personnel, their dependants and contract employees.",,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guam,316,Around 2005,2005,,"3,203",19.0,Registration,National statistics,,,"Including live births to United States military personnel, their dependants and contract employees.",,,,Population data are national estimates published by the United Nations Statistics Division.,
Guam,316,Latest,2011,,"3,298",18.1,Registration,UNSD,,,"Including live births to United States military personnel, their dependants and contract employees.",,,,Population data are national estimates published by the United Nations Statistics Division.,
Guatemala,320,Around 1970,1970,,"212,151",40.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guatemala,320,Around 1985,1985,,"326,849",42.2,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guatemala,320,Around 1995,1995,,"371,091",37.2,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guatemala,320,Around 2005,2005,,"374,066",29.5,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guatemala,320,Latest,2008,,"369,769",27.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guinea,324,Around 1985,1983,,"212,940",45.5,Census,,National statistics,,,,Adjusted estimate.,,Population data are national estimates published by the United Nations Statistics Division.,
Guinea,324,Around 1995,1997,1996-1999,"297,734",37.3,Survey,,DHS,Guinea 1999 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Guinea,324,Latest,2003,2002-2005,"335,768",38.4,Survey,,DHS,Guinea 2005 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Guinea-Bissau,624,..,1979,,"33,178",41.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Guinea-Bissau,624,Around 1995,1991,,"45,751",44.1,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Guinea-Bissau,624,Around 2005,2000,,"52,480",42.3,Survey,,MICS,Guinea-Bissau 2000 Multiple Indicator Cluster Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Guinea-Bissau,624,Latest,2006,,"57,076",40.9,Survey,,MICS,Guinea-Bissau 2006 Multiple Indicator Cluster Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Guyana,328,Around 1970,1970,,"23,703",33.4,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guyana,328,Around 1985,1980,,"19,028",24.5,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Guyana,328,Around 1995,1991,,"14,986",20.7,Census,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guyana,328,Around 2005,2003,2000-2005,"16,043",21.3,Survey,,DHS,Guyana 2005 HIV-AIDS Indicator Survey,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Guyana,328,Latest,2007,2006-2009,"17,172",22.5,Survey,,DHS,Guyana 2009 Demographic and Health Survey,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Haiti,332,Around 1970,1975,1972-1977,"193,307",37.6,Survey,,WFS,Haiti 1977 World Fertility Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Haiti,332,Around 1985,1983,,"219,676",36.0,Survey,,CPS,Haiti 1983 Contraceptive Prevalence Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Haiti,332,Around 1995,1993,1991-1994,"258,245",34.1,Survey,,DHS,Haiti 1994-1995 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Haiti,332,Around 2005,2003,,"233,068",25.7,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Haiti,332,Latest,2004,2003-2006,"261,639",28.4,Survey,,DHS,Haiti 2005-2006 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Honduras,340,Around 1970,1972,,"139,807",49.2,Survey,,National statistics,Honduras 1971-1972 Encuesta Demogr¨¢fica Nacional,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Honduras,340,Around 1985,1986,1985-1987,"165,461",38.0,Survey,,National statistics,Honduras 1987 Encuesta Nacional de Epidemiolog¨ªa y Salud Familiar,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Honduras,340,Around 1995,1994,,"156,589",28.8,Registration,National statistics,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
